,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
De Clercq 2002,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",s. haematobium,Senegal,Artesunate,Single,3.0 mg/kg,90,School Children,MF,2002,schoolchildren,No,No,5 weeks ,20%,55%,"At present the cornerstone for schistosomiasis control is morbidity reduction through chemotherapy, mainly with praziquantel",,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",,,,,,,,,,,,,,,,,,
De Clercq 2002,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",s. haematobium,Senegal,Artesunate,Single,3.0 mg/kg,44,School Children,MF,2002,schoolchildren,No,No,5 weeks ,48%,89%,"At present the cornerstone for schistosomiasis control is morbidity reduction through chemotherapy, mainly with praziquantel",,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",,,,,,,,,,,,,,,,,,
De Clercq 2002,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",s. haematobium,Senegal,Praziquantel,Single,40 mg/kg,45,School Children,MF,2002,schoolchildren,No,No,5 weeks ,76%,97%,"At present the cornerstone for schistosomiasis control is morbidity reduction through chemotherapy, mainly with praziquantel",,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",,,,,,,,,,,,,,,,,,
Magnussen,"Magnussen, P.; Ndawi, B.; Sheshe, A. K.; Byskov, J.; Mbwana, K.; Christensen, N.O. ""The impact of a school health programme on the prevalence and morbidity of urinary schistosomiasis in Mwere Division, Pangani District, Tanzania. 2001. Transactions of the Royal Society of Tropical Medicine & Hygeine. 95. 58-64. Web. ",s. haematobium,Tanzania,Praziquantel,Single,40 mg/kg,2122,School Children,MF,1999,schoolchildren,No,No,From baseline to 1999; 4 years,54.30%,60.60%,"The involvement of teachers in the implementation ofthe school-based schistosomiasis morbidity-control pro- gramme proved to be very effective and functioned well.",,"Magnussen, P.; Ndawi, B.; Sheshe, A. K.; Byskov, J.; Mbwana, K.; Christensen, N.O. ""The impact of a school health programme on the prevalence and morbidity of urinary schistosomiasis in Mwere Division, Pangani District, Tanzania. 2001. Transactions of the Royal Society of Tropical Medicine & Hygeine. 95. 58-64. Web. ",,,,,,,,,,,,,,,,,,
Mohamed,"Mohamed, A. A.; Mahgoub, H.M.; Magzoub, M.; Gasim, G.I.; Eldein, W.N.; Ahmed, A.A.; Adam, I. ""Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansonia in eastern Sudan. 2009. ",s. mansoni,Sudan,Artesunate & Sulfadoxine & Pyrimethamine,Three; Single,4 mg/kg; 25 mg,46,School Children,MF,2009,schoolchildren,No,Yes,Follow-up in 28 days,58.60%,,The current study showed a significantly lower efficacy of AS+SP in comparison with PZQ (58.6% vs. 100%).,,"Mohamed, A. A.; Mahgoub, H.M.; Magzoub, M.; Gasim, G.I.; Eldein, W.N.; Ahmed, A.A.; Adam, I. ""Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansonia in eastern Sudan. 2009. ",,,,,,,,,,,,,,,,,,
Mohamed,"Mohamed, A. A.; Mahgoub, H.M.; Magzoub, M.; Gasim, G.I.; Eldein, W.N.; Ahmed, A.A.; Adam, I. ""Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansonia in eastern Sudan. 2009. ",s. mansoni,Sudan,Praziquantel,Single,40 mg/kg,46,School Children,MF,2009,schoolchildren,No,Yes,Follow-up in 28 days,100%,,The current study showed a significantly lower efficacy of AS+SP in comparison with PZQ (58.6% vs. 100%).,,"Mohamed, A. A.; Mahgoub, H.M.; Magzoub, M.; Gasim, G.I.; Eldein, W.N.; Ahmed, A.A.; Adam, I. ""Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansonia in eastern Sudan. 2009. ",,,,,,,,,,,,,,,,,,
Navartnam,"Navaratnam, A.M.D.; Sousa-Figueiredo, J.C.; Stothard, J.R.; Kabatereine, N.B.; Fenwick, A.; Mutumba-Nakalembe, M.J. 2012. ""Efficacy of praziquantel syrup versus crushed praziquantel tablets in the treatment of intestinal schistosomiasis in Ugandan preschool children, with observation on compliance and safety. Transactions of the Royal Society of Tropical Medicine and Hygiene 106 400-407.",s. mansoni,Uganda,Praziquantel,Single,40 mg/kg,149,School Children,MF,2010,schoolchildren,No,Yes,Follow-up 3 weeks,81.70%,89.00%,PZQ syrup and crushed PZQ tablets have very similar efficacies in the treatment of intestinal schistosomiasis in preschool children,,"Navaratnam, A.M.D.; Sousa-Figueiredo, J.C.; Stothard, J.R.; Kabatereine, N.B.; Fenwick, A.; Mutumba-Nakalembe, M.J. 2012. ""Efficacy of praziquantel syrup versus crushed praziquantel tablets in the treatment of intestinal schistosomiasis in Ugandan preschool children, with observation on compliance and safety. Transactions of the Royal Society of Tropical Medicine and Hygiene 106 400-407.",,,,,,,,,,,,,,,,,,
Navartnam,"Navaratnam, A.M.D.; Sousa-Figueiredo, J.C.; Stothard, J.R.; Kabatereine, N.B.; Fenwick, A.; Mutumba-Nakalembe, M.J. 2012. ""Efficacy of praziquantel syrup versus crushed praziquantel tablets in the treatment of intestinal schistosomiasis in Ugandan preschool children, with observation on compliance and safety. Transactions of the Royal Society of Tropical Medicine and Hygiene 106 400-407.",s. mansoni,Uganda,Praziquantel,Single,2.5-7.5 mL,148,School Children,MF,2010,schoolchildren,No,Yes,Follow-up 3 weeks,80.90%,86.10%,PZQ syrup and crushed PZQ tablets have very similar efficacies in the treatment of intestinal schistosomiasis in preschool children,,"Navaratnam, A.M.D.; Sousa-Figueiredo, J.C.; Stothard, J.R.; Kabatereine, N.B.; Fenwick, A.; Mutumba-Nakalembe, M.J. 2012. ""Efficacy of praziquantel syrup versus crushed praziquantel tablets in the treatment of intestinal schistosomiasis in Ugandan preschool children, with observation on compliance and safety. Transactions of the Royal Society of Tropical Medicine and Hygiene 106 400-407.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Praziquantel,Single,40 mg/kg,70,6-20,MF,1988,School Children & Adults,No,No,6 weeks post treatment,47%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Praziquantel,Single,40 mg/kg,95,>20,MF,1988,Adults >20,No,No,6 weeks post treatment,69%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Praziquantel,Single,30 mg/kg,22,6-20,MF,1988,School Children & Adults,No,No,6 weeks post treatment,50%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Praziquantel,Single,30 mg/kg,20,>20,MF,1988,Adults >20,No,No,6 weeks post treatment,85%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Oxamniquine,Single,40 mg/kg,120,6-20,MF,1988,School Children & Adults,No,No,6 weeks post treatment,43%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Oxamniquine,Single,40 mg/kg,177,>20,MF,1988,Adults >20,No,No,6 weeks post treatment,70%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Oxamniquine,Single,15 mg/kg,169,6-20,MF,1988,School Children & Adults,No,No,6 weeks post treatment,21%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Oxamniquine,Single,15 mg/kg,205,>20,MF,1988,Adults >20,No,No,6 weeks post treatment,40%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
Polderman,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",s. mansoni,Democratic Republic of the Congo,Placebo,,,83,6-20,MF,1988,School Children & Adults,No,No,6 weeks post treatment,66%,,"The cure rates were lower in children than in adults, for both oxamniquine and praziquantel. The results in the placebo-treated group indicate that the repro- ducibility of egg counts was adequate.",,"Polderman, A.B.; Gryseels, B. De Caluwe, P. Cure rates and egg reduction in treatment of intestinal schistosomiasis with oxamniquine and praziquantel in Maniema, Zaire. 1988. Transactions of the Royal Society of Tropical Medicine and Hygiene. 82: 115-116.",,,,,,,,,,,,,,,,,,
